task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
224	e1/8a8ff0	731371	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_amb_g10_r3_T1)	CACHED	0	2024-01-23 02:05:56.483	4.1s	3s	331.1%	2.8 MB	11 MB	86.3 MB	785.9 KB
233	85/ad1263	704853	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g8_r1_T1)	CACHED	0	2024-01-23 01:53:32.917	1m 22s	1m 20s	422.2%	1022 MB	1.8 GB	1.5 GB	1.4 GB
219	10/9f13c5	503402	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_1_g4_r3_T1)	CACHED	0	2024-01-23 00:29:52.218	57.3s	56s	622.0%	830.9 MB	1.6 GB	3.7 GB	3.7 GB
236	b8/21122d	728821	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_amb_g4_r1_T1)	CACHED	0	2024-01-23 02:05:19.053	3.5s	2s	369.4%	2.8 MB	11 MB	73 MB	786.2 KB
239	b6/7cf677	520881	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_1_g4_r1_T1)	CACHED	0	2024-01-23 00:33:56.184	1m 16s	1m 14s	623.8%	1013.4 MB	1.8 GB	5 GB	5 GB
218	88/cca4fe	530063	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_1_g8_r2_T1)	CACHED	0	2024-01-23 00:36:08.754	1m 4s	1m 3s	623.0%	863.4 MB	1.7 GB	4.2 GB	4.2 GB
201	d6/6e7f00	338227	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_1_g10_r3_T1)	CACHED	0	2024-01-23 00:02:06.759	1m 40s	1m 38s	377.8%	1.5 GB	1.9 GB	8.6 GB	8.5 GB
244	73/e32eec	691072	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_1_g4_r1_T1)	CACHED	0	2024-01-23 01:45:13.977	55.6s	53s	120.4%	2.8 MB	11 MB	244.5 MB	2.2 MB
240	cf/e990ab	696066	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_1_g8_r3_T1)	CACHED	0	2024-01-23 01:48:21.671	43.6s	41s	125.4%	2.8 MB	11 MB	187 MB	2.2 MB
241	62/6656ab	696741	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g8_r3_T1)	CACHED	0	2024-01-23 01:49:05.300	1m 50s	1m 48s	402.0%	1022.7 MB	1.8 GB	1.8 GB	1.7 GB
