sgRNA_target	num_sgRNAs	p_fitness_condition	p_fitness_condition_2	condition	wmean_fitness	sd_fitness	p_fitness_adj	comb_score	p_fitness_condition_adj
nc_slr0556-as	4	1	1	CO2_30percent	0.1781703722389342	0.23751583986135336	0.9458951075850284	0.004304065389970981	1
nc_slr0556-as	4	1	1	CO2_4percent	0.1838147379158632	0.0204141718036784	0.9143550542857183	0.007147660000793597	1
nc_slr0557-as	4	0.4717794117996919	0.6857142857142857	CO2_30percent	0.1459558005974353	0.30600109611436327	0.8913948614040894	0.007287554705136407	0.7032732765690293
nc_slr0557-as	4	0.4717794117996919	0.6857142857142857	CO2_4percent	0.1686522811066525	0.16573497936203296	0.9525074466803449	0.0035638959730180035	0.7032732765690293
nc_slr0559	1	0.13361440253771614	1	CO2_30percent	0.08655120007689547	NA	0.9458951075850284	0.0020908191414218485	0.34813398257891537
nc_slr0559	1	0.13361440253771614	1	CO2_4percent	0.21895197341597247	NA	0.8679321427214849	0.013468661572495898	0.34813398257891537
nc_slr0581	4	0.7370162633798947	0.8857142857142857	CO2_30percent	0.09279309797494328	0.17440251167323878	0.6984100208815922	0.01446547316749492	0.8683388670782164
nc_slr0581	4	0.7370162633798947	0.8857142857142857	CO2_4percent	0.242067918823926	0.2585283439921784	0.9720968262217057	0.0029751296528570366	0.8683388670782164
nc_slr0583	5	0.9180430114611047	1	CO2_30percent	-2.371868390614345	1.301409085824249	0.06417443964082256	2.828780171604947	0.9371170758365387
nc_slr0583	5	0.9180430114611047	1	CO2_4percent	-2.6085058252447615	1.5258936510006933	0.045117892444065374	3.510138981950634	0.9371170758365387
nc_slr0586	2	0.32960960546565654	0.6666666666666667	CO2_30percent	0.16121511227612087	0.15907668160853394	0.8313727550868939	0.012930131019910031	0.5852118689503559
nc_slr0586	2	0.32960960546565654	0.6666666666666666	CO2_4percent	-0.3281993151875295	0.5821815846320216	0.6901252346181802	0.052863750358163604	0.5852118689503559
nc_slr0587	1	0.13361440253771614	1	CO2_30percent	0.23547160600695646	NA	0.7324131804450047	0.03184608627328958	0.34813398257891537
nc_slr0587	1	0.13361440253771614	1	CO2_4percent	-0.08371332351384426	NA	0.6756228534615185	0.014256016390851894	0.34813398257891537
nc_slr0589	2	1	1	CO2_30percent	0.21198154506639802	0.4667756307404747	0.9647691158263495	0.003301953347949998	1
nc_slr0589	2	1	1	CO2_4percent	0.16968401063204752	0.11778307056126801	0.9349326218034614	0.004958113592924598	1
nc_slr0593-as	4	1	1	CO2_30percent	-0.2164602811456547	0.44586447492704173	0.8542992235356	0.014803716108594982	1
nc_slr0593-as	4	1	1	CO2_4percent	0.006325658914364708	0.16681884063008173	0.746352504788104	8.037129527668662e-4	1
nc_slr0593	2	1	1	CO2_30percent	0.10753217134706199	0.09437286078383084	0.8313727550868939	0.008624533052407105	1
nc_slr0593	2	1	1	CO2_4percent	0.1450894010586723	0.24784645689132392	0.873632922859333	0.008512541401825875	1
nc_slr0594-as	2	0.03670119249562781	0.3333333333333333	CO2_30percent	0.0791232842144506	0.035284294487074645	0.9190642338250596	0.0029001955025182947	0.18369856512907407
nc_slr0594-as	2	0.03670119249562781	0.3333333333333333	CO2_4percent	0.20980544740216986	0.11316024009059478	0.873632922859333	0.012309497070825631	0.18369856512907407
nc_slr0600-as2	1	0.13361440253771614	1	CO2_30percent	0.38350951478856776	NA	0.584708522690724	0.08938094836272138	0.34813398257891537
nc_slr0600-as2	1	0.13361440253771614	1	CO2_4percent	0.013108454096940097	NA	0.7994991339779918	0.0012739058168241282	0.34813398257891537
nc_slr0600-as	5	0.51459819165810194	0.6904761904761905	CO2_30percent	0.3842878263253945	0.35273785980640476	0.8010213373011333	0.0370284052022551	0.7032732765690293
nc_slr0600-as	5	0.51459819165810194	0.6904761904761905	CO2_4percent	0.10674315054040871	0.03271402266233244	0.8914439249771854	0.005327120501804197	0.7032732765690293
nc_slr0604-as2	5	0.35439798416825935	0.5476190476190477	CO2_30percent	-0.02470200493204233	0.3641584911648234	0.594324564040631	0.005582068159722383	0.5852118689503559
nc_slr0604-as2	5	0.35439798416825935	0.5476190476190477	CO2_4percent	0.013274812554812842	0.19312107476109744	0.6476625593337079	0.002504309428565701	0.5852118689503559
nc_slr0604-as	5	0.7059529851215194	0.8412698412698413	CO2_30percent	-0.49238987600645934	0.6484363970846831	0.8313727550868939	0.039491741932581856	0.8422789991975005
nc_slr0604-as	5	0.7059529851215194	0.8412698412698413	CO2_4percent	-0.0223301739718326	0.09479378199317573	0.3557510150935733	0.010022984603842312	0.8422789991975005
nc_slr0604	5	0.9180430114611047	1	CO2_30percent	-0.022839296893175844	0.5907320894693857	0.8010213373011333	0.0022007013544556708	0.9371170758365387
nc_slr0604	5	0.9180430114611047	1	CO2_4percent	-0.22060194150161708	0.6496658134313006	0.9143550542857183	0.008578135198768742	0.9371170758365387
nc_slr0612-as	5	0.14024270215766366	0.30952380952380953	CO2_30percent	-0.25231644344299387	0.45507474306621776	0.48928840640055	0.07832787395478993	0.34813398257891537
nc_slr0612-as	5	0.14024270215766366	0.30952380952380953	CO2_4percent	-0.355345016681594	0.9557593377064668	0.7739566832797656	0.03954398214988632	0.34813398257891537
nc_slr0615-as2	2	0.03670119249562781	0.3333333333333333	CO2_30percent	0.7556540343519245	0.509744375753242	0.3219508045569536	0.37194083894159935	0.18369856512907407
nc_slr0615-as2	2	0.03670119249562781	0.3333333333333333	CO2_4percent	0.034933618843938224	0.09156334145073196	0.8308475819064807	0.0028114101265835118	0.18369856512907407
nc_slr0615	5	0.0018007025160810717	0.015873015873015872	CO2_30percent	-0.022879346078594334	0.2514290577164089	0.6984100208815922	0.0035666506886008376	0.0348298045227573
nc_slr0615	5	0.0018007025160810717	0.015873015873015872	CO2_4percent	0.7199267000653025	0.4075135108680798	0.1561979395060061	0.580494680049897	0.0348298045227573
nc_slr0617	1	0.13361440253771614	1	CO2_30percent	0.20410899410913821	NA	0.8927347877322642	0.01005798942419951	0.34813398257891537
nc_slr0617	1	0.13361440253771614	1	CO2_4percent	0.09671182024797056	NA	0.9525074466803449	0.0020436774674101204	0.34813398257891537
