sgRNA_target	condition	wmean_fitness	p_fitness_adj	p_fitness_condition	p_fitness_condition_2	p_fitness_condition_adj
slr0787	CO2_4percent	0.043420351733728706	0.9525074466803449	0.35439798416825935	0.5476190476190477	0.9525074466803449
slr0788	CO2_30percent	0.12393460712478097	0.7708972345456213	0.51459819165810194	0.6904761904761905	0.7708972345456213
slr0788	CO2_4percent	0.007527707135441764	0.613832048322259	0.51459819165810194	0.6904761904761905	0.613832048322259
slr0789	CO2_30percent	0.3711471325981468	0.8313727550868939	0.51459819165810194	0.6904761904761905	0.8313727550868939
slr0789	CO2_4percent	0.26157503085973377	0.8510688283109384	0.51459819165810194	0.6904761904761905	0.8510688283109384
slr0793	CO2_30percent	0.47728485797878384	0.7324131804450047	0.7059529851215194	0.8412698412698413	0.7324131804450047
slr0793	CO2_4percent	0.24206625408342475	0.9143550542857183	0.7059529851215194	0.8412698412698413	0.9143550542857183
slr0794	CO2_30percent	-1.9524450899340118	0.14692368791880397	0.14024270215766366	0.30952380952380953	0.14692368791880397
slr0794	CO2_4percent	-3.6293017052200596	0.9525074466803449	0.14024270215766366	0.30952380952380953	0.9525074466803449
slr0795	CO2_30percent	-0.48763170355912555	0.8927347877322642	0.9180430114611047	1	0.8927347877322642
slr0795	CO2_4percent	0.020732252305374132	0.873632922859333	0.9180430114611047	1	0.873632922859333
slr0797	CO2_30percent	0.6657734609171836	0.012227041170706682	6.846034854385695e-4	0.007936507936507936	0.012227041170706682
slr0797	CO2_4percent	0.20337137433181346	0.9143550542857183	6.846034854385695e-4	0.007936507936507936	0.9143550542857183
slr0798	CO2_30percent	0.35459525186601953	0.9647691158263495	0.22994905679421349	0.42063492063492064	0.9647691158263495
slr0798	CO2_4percent	0.049341205820182824	0.6476625593337079	0.22994905679421349	0.42063492063492064	0.6476625593337079
slr0800	CO2_30percent	0.36128241131706357	0.8308242601077898	0.41449154861760745	0.7	0.8308242601077898
slr0800	CO2_4percent	0.4288540054876963	0.6785485253288749	0.41449154861760745	0.7	0.6785485253288749
slr0801	CO2_30percent	-0.15064388697229789	0.8624632381404762	0.51459819165810194	0.6904761904761905	0.8624632381404762
slr0801	CO2_4percent	0.12316602543580465	0.9349326218034614	0.51459819165810194	0.6904761904761905	0.9349326218034614
slr0806	CO2_30percent	0.30865428599727446	0.9647691158263495	0.35439798416825935	0.5476190476190477	0.9647691158263495
slr0806	CO2_4percent	0.5660700061812809	0.7739566832797656	0.35439798416825935	0.5476190476190477	0.7739566832797656
slr0808	CO2_30percent	0.4431988997071302	0.7324131804450047	0.22994905679421349	0.42063492063492064	0.7324131804450047
slr0808	CO2_4percent	0.044469542759954316	0.9525074466803449	0.22994905679421349	0.42063492063492064	0.9525074466803449
slr0810	CO2_30percent	-0.08426400527301671	0.45827043095318637	0.06135536552864657	0.2	0.45827043095318637
slr0810	CO2_4percent	0.4241853586885355	0.746352504788104	0.06135536552864657	0.2	0.746352504788104
slr0812	CO2_30percent	-2.410580139915148	0.046238987532981564	0.35439798416825935	0.5476190476190477	0.046238987532981564
slr0812	CO2_4percent	-3.2642557630773386	0.016128529540135998	0.35439798416825935	0.5476190476190477	0.016128529540135998
slr0813	CO2_30percent	0.11001102567250562	0.6984100208815922	0.043002747477351014	0.15079365079365079	0.6984100208815922
slr0813	CO2_4percent	0.47106716984197966	0.497647869636685	0.043002747477351014	0.15079365079365079	0.497647869636685
slr0815	CO2_30percent	0.8738891125033357	0.6984100208815922	0.14024270215766366	0.30952380952380953	0.6984100208815922
slr0815	CO2_4percent	-0.06642259496643163	0.5764319061134006	0.14024270215766366	0.30952380952380953	0.5764319061134006
slr0816	CO2_30percent	0.20286739409253352	0.8313727550868939	0.7059529851215194	0.8412698412698413	0.8313727550868939
slr0816	CO2_4percent	0.09061647244573419	0.6785485253288749	0.7059529851215194	0.8412698412698413	0.6785485253288749
slr0818	CO2_30percent	0.08449744975872182	0.9458951075850284	0.51459819165810194	0.6904761904761905	0.9458951075850284
slr0818	CO2_4percent	0.03105950615638579	0.746352504788104	0.51459819165810194	0.6904761904761905	0.746352504788104
slr0820	CO2_30percent	0.8961167490336672	0.16704207473650773	0.010097314647507225	0.05555555555555555	0.16704207473650773
slr0820	CO2_4percent	-1.4521597673320163	0.1766276124104797	0.010097314647507225	0.05555555555555555	0.1766276124104797
slr0821	CO2_30percent	-2.040541006165224	0.012227041170706682	0.7059529851215194	0.8412698412698413	0.012227041170706682
slr0821	CO2_4percent	-2.235125975097579	0.016128529540135998	0.7059529851215194	0.8412698412698413	0.016128529540135998
slr0822	CO2_30percent	-1.2696156034989248	0.21242716088599387	0.010097314647507225	0.05555555555555555	0.21242716088599387
slr0822	CO2_4percent	0.20580531821100712	0.613832048322259	0.010097314647507225	0.05555555555555555	0.613832048322259
slr0825	CO2_30percent	0.5707598570331501	0.8927347877322642	0.22994905679421349	0.42063492063492064	0.8927347877322642
slr0825	CO2_4percent	0.17510582662354413	0.5764319061134006	0.22994905679421349	0.42063492063492064	0.5764319061134006
slr0829	CO2_30percent	0.23878474691938217	0.9458951075850284	0.51459819165810194	0.6904761904761905	0.9458951075850284
slr0829	CO2_4percent	0.6295730518772749	0.4245195217857738	0.51459819165810194	0.6904761904761905	0.4245195217857738
slr0841	CO2_30percent	0.2663956620669211	0.8624632381404762	0.51459819165810194	0.6904761904761905	0.8624632381404762
slr0841	CO2_4percent	-0.10729615335316073	0.6785485253288749	0.51459819165810194	0.6904761904761905	0.6785485253288749
