sgRNA_target	locus	Gene name	Product	wmean_fitness_CO2_30percent	wmean_fitness_CO2_4percent	sd_fitness_CO2_30percent	sd_fitness_CO2_4percent	p_fitness_adj_CO2_30percent	p_fitness_adj_CO2_4percent	comb_score_CO2_30percent	comb_score_CO2_4percent	p_fitness_condition_CO2_30percent	p_fitness_condition_CO2_4percent	p_fitness_condition_adj_CO2_30percent	p_fitness_condition_adj_CO2_4percent	impact_score	combined_impact_score
nc_slr0513-as	NA	slr0513-as	NA	-0.31106603984193965	0.3263067386059368	0.389880931619592	0.16394816114930133	0.28397608833732335	0.3486641207824675	0.1700654738907257	0.1493155950295179	0.02857142857142857	0.02857142857142857	0.39149184467966774	0.39149184467966774	-0.4506906137842044	0.1835560475156937
nc_slr0517-as	NA	slr0517-as	NA	-0.1600735549879024	-0.45398356858806865	0.3562035386720992	0.6726521050478986	0.8624632381404762	0.8510688283109384	0.01028623177468357	0.031794882634259426	1	1	1	1	0.20782576367530792	-0
nc_slr0521-as2	NA	slr0521-as2	NA	0.10612707794277096	0.1329484687799062	0.06161248916757385	0.10541116089629857	0.8978744444973047	0.9720968262217057	0.004965090524508144	0.0016339998034053482	1	1	1	1	-0.018965587341793065	-0
nc_slr0521	NA	slr0521	NA	0.39864408718628497	0.2485634099363477	NA	NA	0.584708522690724	0.7994991339779918	0.09290822052106146	0.024155889887997422	1	1	1	1	0.10612306460850024	-0
nc_slr0522-as	NA	slr0522-as	NA	-0.03559813499443435	0.3085492879817402	0.28499108258254086	0.1985782189915116	0.6652586483325006	0.7211652573233834	0.00630120704150042	0.043803262583916425	0.34285714285714286	0.34285714285714286	0.8858294993655463	0.8858294993655463	-0.24334897651432807	0.012812289835347795
nc_slr0528-as	NA	slr0528-as	NA	-1.0343037059229936	-3.500063885441042	0.5558617969745993	2.7379032098326053	0.03851561305067935	0.6785485253288749	1.4628810838790893	0.5894775710555427	0.6904761904761905	0.6904761904761905	0.9838308457711443	0.9838308457711443	1.7435557437169709	0.012343616656007285
nc_slr0529-as	NA	slr0529-as	NA	0.3978611355174133	0.006429838526704173	0.15051353751533147	0.13180044674161712	0.31525333969256586	0.497647869636685	0.19946382261191947	0.0019487416413213002	0.02857142857142857	0.02857142857142857	0.39149184467966774	0.39149184467966774	0.27678372447077587	0.11272772258100446
nc_slr0534-as3	NA	slr0534-as3	NA	-0.8165937438099222	0.1807467205290809	0.7716541991418496	0.23538482012619788	0.594324564040631	0.7739566832797656	0.18453084878292877	0.020114099691052975	0.5476190476190477	0.5476190476190477	0.9596295259860393	0.9596295259860393	-0.7052262054858491	0.012621008908831027
nc_slr0534-as	NA	slr0534-as	NA	0.10132493784952534	0.09920457784563011	NA	NA	0.9458951075850284	0.9525074466803449	0.0024477086322425225	0.0020963534745516476	1	1	1	1	0.0014993209373110536	-0
nc_slr0535-as	NA	slr0535-as	NA	0.12800349875172992	-0.6460411747528106	0.3584331057343722	0.7210096914094678	0.9647691158263495	0.7211652573233834	0.0019938602726959067	0.0917153671065801	0.42063492063492064	0.42063492063492064	0.8858294993655463	0.8858294993655463	0.5473322375763877	0.028816966335772635
