task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
93	78/59efe9	514526	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (14_T1)	COMPLETED	0	2024-01-12 09:27:45.824	38s	37s	423.0%	929.8 MB	1.5 GB	735.1 MB	694.3 MB
94	c6/1c74c8	516568	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (16_T1)	COMPLETED	0	2024-01-12 09:28:23.839	36.9s	36s	422.9%	893.5 MB	1.6 GB	704.6 MB	665 MB
95	d8/dae681	518621	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (16_T1)	COMPLETED	0	2024-01-12 09:29:00.717	21.5s	18s	143.5%	2.8 MB	11 MB	84.7 MB	2.3 MB
96	c6/ec1fd3	519169	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (13_T1)	COMPLETED	0	2024-01-12 09:29:22.184	18.6s	16s	149.9%	2.8 MB	11 MB	72.8 MB	2.3 MB
97	4c/a5eef7	519710	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (13_T1)	COMPLETED	0	2024-01-12 09:29:40.779	29.6s	29s	423.9%	726.5 MB	1.6 GB	573.8 MB	539.9 MB
98	87/a09a75	521625	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (12_T1)	COMPLETED	0	2024-01-12 09:30:10.410	17.5s	15s	153.2%	2.8 MB	11 MB	67.5 MB	2.3 MB
99	0c/525dd1	522153	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (12_T1)	COMPLETED	0	2024-01-12 09:30:27.956	27.2s	25s	420.9%	654.1 MB	1.5 GB	516.3 MB	484.9 MB
100	dc/57f374	523989	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (19_T1)	COMPLETED	0	2024-01-12 09:30:55.176	19.5s	17s	147.7%	2.8 MB	11 MB	79.5 MB	2.3 MB
101	70/135f4a	524539	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (19_T1)	COMPLETED	0	2024-01-12 09:31:14.682	33.8s	33s	417.7%	815.9 MB	1.5 GB	644.9 MB	607.6 MB
102	53/558daa	526509	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (20_T1)	COMPLETED	0	2024-01-12 09:31:48.519	18.7s	15s	139.9%	2.8 MB	11 MB	69 MB	2.3 MB
103	47/9986fb	527058	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (20_T1)	COMPLETED	0	2024-01-12 09:32:07.197	30.8s	29s	382.4%	672.7 MB	1.5 GB	530.6 MB	498.3 MB
104	48/3ea546	528976	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (25_T1)	COMPLETED	0	2024-01-12 09:32:38.019	19.7s	17s	152.9%	2.8 MB	11 MB	77.3 MB	2.3 MB
105	03/8165b3	529529	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (25_T1)	COMPLETED	0	2024-01-12 09:32:57.697	44.2s	42s	309.5%	791.2 MB	1.6 GB	623.1 MB	587 MB
107	b3/694abd	531603	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (26_T1)	COMPLETED	0	2024-01-12 09:33:41.943	22.6s	20s	140.5%	2.8 MB	11 MB	91.9 MB	2.3 MB
106	21/f02a09	532153	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (26_T1)	COMPLETED	0	2024-01-12 09:34:04.576	46.4s	45s	431.6%	1017.6 MB	1.8 GB	844.8 MB	801.7 MB
109	d5/6d79ce	534473	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (21_T1)	COMPLETED	0	2024-01-12 09:34:50.992	30s	28s	422.3%	720.1 MB	1.5 GB	567.9 MB	534.4 MB
108	76/703e47	536399	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (21_T1)	ABORTED	-	2024-01-12 09:35:21.041	-	-	-	-	-	-	-
